,name,year,team,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
308,전상현,19,KIA,1.83,57,0,0,0,1,4,0,15,60.2,21,21,245,45,8,1,3,21,2,2,62,0,2,3.12,3.04,1.09,134.6,138.6,1.83
309,양현종,22,KIA,1.75,14,0,0,14,7,2,0,0,83.0,32,24,336,68,10,2,5,20,1,2,62,0,1,2.6,3.34,1.06,148.6,116.1,1.75
310,윌랜드,19,KIA,1.61,28,0,0,28,8,10,0,0,165.0,95,87,726,191,41,1,17,59,1,5,137,0,4,4.75,4.23,1.52,88.4,99.0,1.61
311,임창용,18,KIA,1.56,37,0,0,12,5,5,4,4,86.1,54,52,388,92,24,1,16,29,1,11,84,0,5,5.42,5.65,1.4,94.7,91.2,1.56
312,임기준,18,KIA,1.47,55,0,0,0,5,1,2,8,56.0,27,22,243,59,5,1,7,23,0,3,45,1,3,3.54,5.24,1.46,145.2,98.4,1.47
313,임기영,20,KIA,1.34,25,0,0,25,9,10,0,0,127.2,80,73,559,152,26,3,12,33,0,9,106,1,3,5.15,4.1,1.45,93.3,117.1,1.34
314,윤중현,21,KIA,1.25,30,0,0,13,5,6,0,2,82.2,44,36,373,91,7,1,7,31,0,14,33,0,2,3.92,5.27,1.48,113.5,84.3,1.25
315,고영창,19,KIA,1.19,55,0,0,0,1,3,1,10,54.0,22,21,243,63,8,3,2,14,2,8,22,0,2,3.5,4.18,1.43,119.8,100.2,1.19
316,문경찬,18,KIA,0.96,32,0,0,0,0,3,0,0,55.1,29,29,240,62,13,0,10,17,2,2,46,1,3,4.72,5.44,1.43,108.8,94.8,0.96
317,황인준,18,KIA,0.77,37,0,0,2,3,1,0,1,52.2,31,29,229,58,13,1,9,12,0,6,35,0,0,4.96,5.75,1.33,103.6,89.6,0.77
318,임기영,22,KIA,0.77,9,0,0,9,1,4,0,0,52.0,23,23,215,51,6,1,9,10,0,0,35,0,0,3.98,4.78,1.17,97.2,81.2,0.77
319,팻딘,18,KIA,0.72,36,0,0,21,6,7,0,2,129.1,96,90,588,174,29,1,23,27,2,4,101,0,3,6.26,5.26,1.55,82.0,98.1,0.72
320,한승혁,18,KIA,0.43,21,0,0,19,7,3,0,0,88.0,62,57,406,105,18,3,8,44,1,4,65,0,16,5.83,5.14,1.69,88.0,100.4,0.43
321,이의리,22,KIA,0.41,13,0,0,13,4,4,0,0,71.0,36,30,307,60,14,3,10,28,0,4,69,0,5,3.8,4.53,1.24,101.7,85.7,0.41
322,임기영,18,KIA,0.41,29,0,0,19,8,9,0,2,105.0,79,73,491,145,24,0,20,34,2,12,68,0,2,6.26,6.27,1.71,82.0,82.2,0.41
323,김기훈,20,KIA,0.23,22,0,0,7,0,4,0,1,52.0,35,31,238,58,11,1,8,31,0,2,39,0,3,5.37,5.96,1.71,89.5,80.4,0.23
324,하준영,19,KIA,0.19,59,0,0,0,6,2,0,15,52.2,31,29,243,59,9,1,5,31,2,0,51,0,1,4.96,4.35,1.71,84.6,96.3,0.19
325,고영창,20,KIA,0.12,48,0,0,0,1,1,1,2,58.0,46,44,275,88,19,0,3,17,2,5,23,2,6,6.83,4.47,1.81,70.3,106.9,0.12
326,박진태,21,KIA,0.02,59,0,0,0,3,3,0,9,65.0,44,43,305,68,11,0,6,36,0,13,45,0,5,5.95,5.41,1.6,74.7,82.3,0.02
327,김기훈,19,KIA,-0.12,19,0,0,16,3,6,0,0,79.1,55,49,368,64,15,2,11,65,0,9,49,0,5,5.56,6.77,1.63,75.4,61.6,-0.12
328,이민우,19,KIA,-0.19,32,0,0,6,2,6,1,2,61.1,42,37,283,74,11,2,4,26,1,4,56,0,3,5.43,3.84,1.63,77.2,109.2,-0.19
329,한승혁,22,KIA,-0.36,11,0,0,11,2,2,0,0,52.1,34,31,238,68,9,3,2,20,0,3,47,0,4,5.33,3.31,1.68,72.6,117.5,-0.36
330,이준영,19,KIA,-0.36,37,0,0,1,1,0,0,1,51.0,42,36,244,64,7,2,3,26,2,2,43,1,0,6.35,4.01,1.77,66.0,104.6,-0.36
331,터너,19,KIA,-0.53,28,1,0,28,7,13,0,0,153.1,107,94,714,179,34,3,12,58,0,17,121,0,14,5.52,4.31,1.55,76.0,97.2,-0.53
332,김광현,19,SSG,6.39,31,0,0,30,17,6,0,0,190.1,64,53,786,198,17,0,13,38,1,2,180,0,8,2.51,3.01,1.24,169.8,142.2,6.39
333,산체스,19,SSG,5.93,28,0,0,28,17,5,0,0,165.0,51,48,671,151,18,2,2,42,0,2,148,2,11,2.62,2.57,1.17,162.5,163.8,5.93
334,김광현,18,SSG,5.26,25,0,0,25,11,8,0,0,136.0,48,45,554,125,16,2,16,30,0,2,130,0,3,2.98,4.16,1.14,176.5,127.4,5.26
335,켈리,18,SSG,3.89,28,0,0,28,12,7,0,0,158.1,78,72,674,152,28,3,18,47,1,13,161,2,5,4.09,4.4,1.26,128.5,120.4,3.89
336,문승원,20,SSG,3.82,25,1,0,25,6,8,0,0,145.2,64,59,610,136,29,0,13,45,0,6,117,0,2,3.65,4.16,1.24,132.3,117.1,3.82
337,박종훈,18,SSG,3.38,30,0,0,30,14,8,0,0,159.1,81,74,702,158,31,3,16,54,0,20,133,0,3,4.18,4.86,1.33,125.8,108.3,3.38
338,하재훈,19,SSG,3.09,61,0,0,0,5,3,36,3,59.0,13,13,245,47,11,0,1,26,2,1,64,1,0,1.98,2.73,1.24,214.6,154.7,3.09
339,문승원,19,SSG,2.89,26,0,0,23,11,7,0,2,144.0,63,62,586,130,13,5,23,33,1,3,99,0,0,3.88,4.83,1.13,109.8,89.6,2.89
340,서진용,19,SSG,2.63,72,0,0,0,3,1,4,33,68.0,19,18,279,53,9,2,2,28,4,2,76,0,1,2.38,2.7,1.19,178.6,157.4,2.63
341,문승원,18,SSG,2.41,31,0,0,27,8,9,1,1,150.2,86,77,656,180,33,2,24,37,0,4,122,0,4,4.6,5.1,1.44,114.3,104.0,2.41
342,박민호,20,SSG,2.29,57,0,0,0,2,1,4,11,52.0,16,14,215,43,9,0,4,19,0,2,36,0,0,2.42,4.38,1.19,199.1,110.8,2.29
343,김태훈,18,SSG,2.26,61,0,0,4,9,3,0,10,94.0,44,40,394,88,17,0,8,36,4,2,93,0,11,3.83,4.05,1.32,137.3,130.6,2.26
344,박종훈,19,SSG,2.10,28,0,0,28,8,11,0,0,144.0,72,62,643,157,29,0,12,59,0,13,100,0,1,3.88,4.6,1.5,109.8,92.8,2.1
345,소사,19,SSG,1.93,16,0,0,16,9,3,0,0,94.1,42,40,387,85,6,0,15,23,0,2,96,1,3,3.82,4.23,1.15,111.5,103.0,1.93
346,박종훈,20,SSG,1.90,29,0,0,28,13,11,0,0,157.1,90,84,691,146,21,3,14,78,1,22,134,0,5,4.81,4.9,1.42,100.4,99.5,1.9
347,산체스,18,SSG,1.88,29,0,0,26,8,8,0,1,145.1,90,79,632,161,21,3,26,39,1,7,124,0,12,4.89,5.38,1.38,107.5,98.8,1.88
348,신재웅,18,SSG,1.68,54,0,0,0,2,3,16,6,52.0,23,16,226,49,3,0,5,28,0,1,43,0,3,2.77,5.1,1.48,189.9,102.8,1.68
349,다익손,19,SSG,1.41,12,0,0,12,3,2,0,0,65.2,29,26,280,65,13,2,7,18,0,2,58,0,1,3.56,3.94,1.26,119.4,109.4,1.41
350,박민호,19,SSG,1.26,47,0,0,0,3,1,0,4,50.1,17,15,209,49,10,0,2,14,0,4,22,0,0,2.68,4.12,1.25,158.7,102.7,1.26
351,서진용,20,SSG,1.09,63,0,0,0,2,7,8,12,61.0,33,28,264,52,4,1,11,34,1,1,56,0,7,4.13,5.74,1.41,116.8,85.4,1.09
352,김태훈,19,SSG,1.05,71,0,0,0,4,5,7,27,69.2,33,31,296,62,8,0,4,26,0,4,76,0,7,4.0,3.26,1.26,106.3,130.9,1.05
353,이건욱,20,SSG,1.03,27,0,0,25,6,12,0,0,122.0,77,77,542,105,16,4,11,81,0,6,91,1,6,5.68,5.38,1.53,84.9,90.3,1.03
354,윤희상,18,SSG,0.71,46,0,0,1,1,2,1,7,51.0,29,29,211,55,5,1,8,7,1,2,44,0,1,5.12,4.62,1.22,102.7,115.4,0.71
355,고영표,21,KT,5.23,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154.0,139.2,5.23
356,니퍼트,18,KT,4.74,29,0,0,28,8,8,0,0,175.2,88,83,765,209,33,4,26,39,2,9,165,0,9,4.25,4.66,1.41,124.6,111.4,4.74
357,데스파이네,21,KT,4.01,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4.01
358,피어밴드,18,KT,3.78,27,1,0,26,8,8,0,0,163.1,90,78,707,186,27,1,24,38,0,6,141,0,5,4.3,4.83,1.37,123.3,107.7,3.78
359,쿠에바스,19,KT,3.44,30,0,0,30,13,10,0,0,184.0,80,74,760,153,21,6,18,63,0,12,135,0,4,3.62,4.43,1.17,114.3,92.7,3.44
360,고영표,22,KT,3.30,13,1,1,13,5,5,0,0,91.0,26,25,362,79,13,1,2,13,1,10,83,0,0,2.47,2.48,1.01,158.2,155.8,3.3
361,데스파이네,20,KT,3.21,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36,1,18,68,1,8,152,0,18,4.33,4.3,1.45,110.9,110.7,3.21
362,김재윤,21,KT,3.08,65,0,0,0,4,3,32,0,67.0,19,18,275,57,8,0,5,24,4,0,64,0,2,2.42,3.29,1.21,185.8,135.2,3.08
363,배제성,20,KT,2.65,26,0,0,26,10,7,0,0,141.1,67,62,619,130,30,1,12,76,0,4,83,1,11,3.95,5.18,1.46,121.7,91.8,2.65
364,쿠에바스,20,KT,2.64,27,0,0,27,10,8,0,0,158.0,80,72,668,152,26,1,16,46,0,9,110,0,4,4.1,4.52,1.25,117.1,105.1,2.64
365,주권,20,KT,2.63,77,0,0,0,6,2,0,31,70.0,25,21,294,54,11,0,6,32,1,1,37,0,0,2.7,4.98,1.23,177.9,95.5,2.63
366,알칸타라,19,KT,2.60,27,1,0,27,11,11,0,0,172.2,80,77,724,189,39,3,15,27,0,8,100,2,2,4.01,3.98,1.25,103.1,103.3,2.6
367,배제성,21,KT,2.55,26,0,0,26,9,10,0,0,141.2,67,58,621,126,27,1,6,82,1,1,136,0,9,3.68,3.7,1.47,121.9,120.3,2.55
368,소형준,22,KT,2.52,13,0,0,13,7,2,0,0,87.0,30,26,352,73,5,3,3,18,0,3,62,0,3,2.69,3.04,1.05,145.4,127.0,2.52
369,소형준,20,KT,2.37,26,0,0,24,13,6,0,0,133.0,63,57,572,141,23,0,6,45,0,6,92,0,2,3.86,3.91,1.4,124.6,122.0,2.37
370,김재윤,20,KT,2.22,56,0,0,0,5,3,21,1,60.2,23,22,256,62,4,2,7,15,3,0,58,0,0,3.26,3.74,1.27,147.2,127.7,2.22
371,배제성,19,KT,2.21,28,1,1,21,10,10,0,0,131.2,58,55,564,132,18,3,6,56,0,3,91,0,10,3.76,3.96,1.43,110.1,104.5,2.21
372,주권,19,KT,2.08,71,0,0,0,6,2,2,25,75.1,25,25,296,64,15,0,7,14,0,2,47,0,1,2.99,4.0,1.04,138.6,102.8,2.08
373,쿠에바스,21,KT,1.94,23,1,1,23,9,4,0,0,133.1,68,61,580,131,21,3,11,51,0,3,137,0,6,4.12,3.57,1.37,109.1,124.8,1.94
374,금민철,18,KT,1.89,29,0,0,29,8,12,0,0,156.1,104,94,720,212,30,1,19,68,1,7,79,0,10,5.41,5.82,1.79,97.9,89.2,1.89
375,고영표,18,KT,1.80,25,3,1,23,6,9,0,0,142.0,91,81,620,175,27,4,17,25,1,14,134,1,2,5.13,4.31,1.41,103.2,120.6,1.8
376,김재윤,18,KT,1.38,62,0,0,0,7,5,15,0,61.0,34,31,271,76,10,1,11,15,4,1,66,0,3,4.57,4.6,1.49,115.9,113.2,1.38
377,배제성,22,KT,1.32,13,0,0,13,3,5,0,0,77.2,34,28,315,66,7,2,6,25,0,0,69,0,8,3.24,3.49,1.17,120.5,110.4,1.32
378,김민수,21,KT,1.18,56,0,0,1,4,2,0,11,58.0,25,19,253,56,8,1,2,24,3,3,55,1,3,2.95,3.13,1.38,152.3,142.2,1.18
379,유원상,20,KT,1.16,62,0,0,0,2,1,2,9,64.0,32,27,271,52,12,0,8,28,1,1,37,0,5,3.8,5.34,1.25,126.5,89.0,1.16
380,소형준,21,KT,1.02,24,0,0,24,7,7,0,0,119.0,67,55,521,123,17,0,6,51,1,4,85,0,5,4.16,3.92,1.46,108.0,113.3,1.02
381,엄상백,21,KT,0.94,10,0,0,9,4,1,0,0,52.2,24,24,228,41,10,0,7,28,0,3,45,0,0,4.1,5.12,1.31,109.5,86.7,0.94
382,전유수,19,KT,0.88,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122.0,128.9,0.88
383,이대은,19,KT,0.53,43,0,0,8,4,2,17,0,85.0,48,40,387,88,17,1,10,39,1,6,58,0,5,4.24,5.12,1.49,97.7,80.1,0.53
384,엄상백,22,KT,0.48,15,0,0,10,5,2,0,0,59.0,30,26,251,63,8,0,7,18,0,2,56,0,0,3.97,3.96,1.37,98.6,97.0,0.48
385,김민,19,KT,0.46,27,0,0,26,6,11,0,0,150.2,88,83,674,175,26,4,16,65,0,4,91,2,4,4.96,4.95,1.59,83.5,83.0,0.46
