"순 이름 팀 정렬
G
타석
33 김민혁 21KLF 0.87 75 198 171 22 54 6 2 1 67 13 6 3 20 2 0 27 3 .394 .392 .786 .367 115.7 0.87 0.14
34 오윤석 22K2B 0.82 61 202 169 14 42 8 0 3 59 25 2 1 22 4 0 37 6 .342 .349 .691 .321 99.5 0.82 0.18
35 장성우 18KC 0.79 127 393 356 41 92 13 0 13 144 48 1 1 32 2 0 82 8 .321 .404 .726 .320 79.1 0.79 -1.09
36 호잉 21KRF 0.76 68 294 259 32 62 11 1 11 108 52 5 2 26 4 2 52 2 .313 .417 .730 .332 93.5 0.76 -0.01
37 윤석민 18K1B 0.74 132 509 460 58 127 22 0 19 206 60 4 1 40 4 2 69 17 .337 .448 .785 .340 92.2 0.74 0.31
38 심우준 22KSS 0.69 64 209 179 28 44 2 2 0 50 12 11 2 20 1 0 35 7 .322 .279 .601 .281 71.3 0.69 -0.94
39 유한준 20KDH 0.63 119 428 386 48 108 17 0 11 158 64 0 0 40 0 2 51 9 .347 .409 .756 .345 99.2 0.63 0.83
40 배정대 22KCF 0.63 69 253 226 21 57 10 0 2 73 16 9 2 21 2 0 52 0 .319 .323 .642 .302 85.6 0.63 -1.60
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
41 오태곤 19KDH 0.61 122 391 351 63 88 16 1 6 124 35 19 2 31 4 0 78 8 .317 .353 .670 .312 85.7 0.61 0.15
42 오윤석 21K2B 0.59 64 122 95 14 24 4 0 2 34 11 2 0 20 2 0 26 2 .393 .358 .751 .352 106.1 0.59 -0.71
43 알몬테 21KLF 0.57 60 249 224 18 61 9 0 7 91 36 1 0 22 1 0 49 9 .337 .406 .744 .347 102.5 0.57 -0.46
44 조용호 19KRF 0.53 87 211 188 15 55 6 3 0 67 19 3 4 21 0 0 28 0 .364 .356 .720 .339 102.9 0.53 0.17
45 이진영 18KDH 0.48 110 312 283 40 90 17 1 3 118 39 2 1 25 0 1 35 3 .370 .417 .787 .351 98.4 0.48 1.46
46 송민섭 21KRF 0.46 122 64 47 39 11 0 0 0 11 7 15 1 12 0 0 21 0 .390 .234 .624 .303 73.1 0.46 0.35
