12 박민호 20S 2.26 57 0 0 0 2 1 4 11 52.0 16 14 215 43 9 0 4 19 0 2 0 2.42 4.38 1.19 199.5 110.8 2.26 -0.61
13 박종훈 19S 2.08 28 0 0 28 8 11 0 0 144.0 72 62 643 157 29 0 12 59 0 13 1 3.88 4.60 1.50 109.5 92.8 2.08 0.73
14 소사 19S 1.92 16 0 0 16 9 3 0 0 94.1 42 40 387 85 6 0 15 23 0 2 3 3.82 4.23 1.15 111.2 102.8 1.92 1.38
15 박종훈 20S 1.91 29 0 0 28 13 11 0 0 157.1 90 84 691 146 21 3 14 78 1 22 5 4.81 4.90 1.42 100.6 99.5 1.91 -1.54
16 산체스 18S 1.90 29 0 0 26 8 8 0 1 145.1 90 79 632 161 21 3 26 39 1 7 4.89 5.38 1.38 107.5 98.8 1.90 -1.34
17 신재웅 18S 1.69 54 0 0 0 2 3 16 6 52.0 23 16 226 49 3 0 5 28 0 1 3 2.77 5.10 1.48 189.9 102.8 1.69 -0.38
18 다익손 19S 1.41 12 0 0 12 3 2 0 0 65.2 29 26 280 65 13 2 7 18 0 2 1 3.56 3.94 1.26 119.0 109.3 1.41 0.38
19 박민호 19S 1.26 47 0 0 0 3 1 0 4 50.1 17 15 209 49 10 0 2 14 0 4 0 2.68 4.12 1.25 158.2 102.7 1.26 -0.28
20 정영일 19S 1.17 44 0 0 0 1 2 1 8 42.0 15 15 175 32 3 1 1 22 2 1 2 3.21 3.55 1.29 132.0 118.9 1.17 0.44
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
21 서진용 20S 1.07 63 0 0 0 2 7 8 12 61.0 33 28 264 52 4 1 11 34 1 1 7 4.13 5.74 1.41 117.0 85.5 1.07 -1.57
22 이건욱 20S 1.04 27 0 0 25 6 12 0 0 122.0 77 77 542 105 16 4 11 81 0 6 6 5.68 5.38 1.53 85.1 90.3 1.04 -1.61
23 김태훈 19S 1.04 71 0 0 0 4 5 7 27 69.2 33 31 296 62 8 0 4 26 0 4 7 4.00 3.26 1.26 105.9 130.9 1.04 0.42
24 박희수 19S 0.91 34 0 0 0 0 1 1 2 28.2 8 4 124 29 2 0 1 13 0 3 0 1.26 4.55 1.47 337.8 92.7 0.91 0.28
25 박희수 18S 0.84 35 0 0 0 1 2 0 4 33.0 14 12 146 35 8 0 1 15 0 3 0 3.27 4.05 1.52 160.6 128.8 0.84 -0.95
26 윤희상 18S 0.72 46 0 0 1 1 2 1 7 51.0 29 29 211 55 5 1 8 7 1 2 1 5.12 4.62 1.22 102.7 115.4 0.72 -0.22
27 이태양 20S 0.58 46 0 0 0 2 1 0 4 47.1 28 27 211 57 10 0 7 11 1 1 2 5.13 4.61 1.44 94.1 106.3 0.58 0.31
28 이승진 18S 0.56 34 0 0 2 0 1 0 0 41.1 25 21 189 41 6 0 6 20 1 4 6 4.57 5.60 1.48 115.0 94.4 0.56 -0.65
29 조영우 20S 0.52 35 0 0 7 2 4 0 0 77.0 52 51 340 96 18 1 12 25 0 2 4 5.96 5.65 1.57 81.1 86.4 0.52 -0.71
30 채병용 18S 0.51 29 0 0 0 2 1 1 3 30.0 16 16 128 33 5 0 8 8 0 1 0 4.80 7.20 1.37 109.5 73.9 0.51 -0.05
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
31 김정빈 20S 0.34 57 0 0 0 1 1 1 10 47.1 30 27 226 37 8 1 5 45 1 8 6 5.13 6.45 1.73 94.1 75.4 0.34 -0.14
32 강지광 19S 0.29 25 0 0 0 2 4 0 6 27.1 14 12 115 24 5 0 0 11 1 0 3 3.95 3.40 1.28 107.4 123.0 0.29 0.46
33 박정배 18S 0.27 49 0 0 0 1 3 9 2 44.2 30 29 197 51 15 0 9 12 2 2 1 5.84 5.29 1.41 90.0 101.1 0.27 -2.40
34 김세현 20S 0.22 42 0 0 0 2 0 1 7 42.0 28 27 187 44 7 0 7 22 0 1 1 5.79 5.70 1.57 83.5 85.9 0.22 -0.95
35 서진용 18S 0.12 48 0 0 0 3 2 1 12 50.0 36 34 225 52 8 2 14 23 3 2 4 6.12 6.47 1.50 85.9 82.9 0.12 -0.01
36 정영일 18S -0.03 51 0 0 0 3 0 0 13 44.0 33 26 205 48 10 0 7 21 1 5 4 5.32 6.11 1.57 98.9 86.6 -0.03 -0.41
