33 엄상백 21K 0.94 10 0 0 9 4 1 0 0 52.2 24 24 228 41 10 0 7 28 0 3 0 4.10 5.12 1.31 109.5 86.7 0.94 0.03
34 전유수 19K 0.93 62 0 0 1 3 1 1 7 66.1 31 25 280 66 16 1 2 18 4 4 6 3.39 3.22 1.27 122.8 129.3 0.93 -1.21
35 배제성 22K 0.93 14 0 0 14 3 6 0 0 82.2 41 35 341 74 9 2 7 28 0 0 8 3.81 3.72 1.23 103.5 104.5 0.93 0.06
36 조현우 21K 0.88 49 0 0 0 0 0 0 6 31.0 10 9 126 26 5 1 0 7 1 1 2 2.61 3.17 1.07 171.9 140.3 0.88 0.73
37 이종혁 18K 0.87 47 0 0 0 0 5 1 4 48.1 28 25 215 61 8 0 4 17 3 2 2 4.66 4.62 1.61 113.8 112.8 0.87 -2.12
38 엄상백 22K 0.78 16 0 0 11 6 2 0 0 65.0 31 27 274 65 8 1 7 21 0 2 0 3.74 4.00 1.32 105.5 97.0 0.78 0.28
39 김대유 19K 0.70 21 0 0 0 0 0 0 0 27.0 7 7 111 21 6 0 1 12 1 4 0 2.33 3.85 1.22 178.6 107.8 0.70 0.21
40 홍성용 18K 0.69 56 0 0 0 2 1 1 6 45.0 28 27 202 49 14 1 7 16 0 5 2 5.40 5.39 1.44 98.1 96.3 0.69 0.04
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
41 이창재 21K 0.68 32 0 0 0 2 0 0 0 26.2 8 8 108 22 5 0 0 10 2 0 0 2.70 2.81 1.20 166.4 158.6 0.68 0.23
42 류희운 18K 0.68 29 0 0 2 1 1 0 1 44.0 25 24 195 53 11 0 11 14 0 2 3 4.91 6.90 1.52 107.9 75.1 0.68 -0.28
43 주권 22K 0.67 27 0 0 0 1 2 1 8 26.0 10 10 103 27 3 0 3 4 0 0 0 3.46 3.67 1.19 114.0 105.8 0.67 0.99
44 이대은 19K 0.67 44 0 0 8 4 2 17 0 86.0 48 40 391 89 17 1 10 39 1 6 5 4.19 5.08 1.49 99.5 81.2 0.67 0.96
45 김재윤 22K 0.64 27 0 0 0 2 3 14 0 29.2 13 11 120 20 2 0 2 10 4 0 1 3.34 2.51 1.01 118.2 155.0 0.64 0.60
46 심재민 18K 0.64 44 0 0 0 4 5 2 3 41.0 25 21 179 47 5 2 5 17 3 2 4 4.61 4.83 1.56 115.0 107.8 0.64 -1.13
47 김민 19K 0.58 27 0 0 26 6 12 0 0 150.2 88 83 674 175 26 4 16 65 0 4 4 4.96 4.95 1.59 84.0 83.3 0.58 -2.06
48 이대은 21K 0.54 31 0 0 0 3 2 1 9 31.0 15 12 128 27 6 0 4 11 0 1 0 3.48 4.75 1.23 128.9 93.3 0.54 -0.14
49 전유수 20K 0.53 47 0 0 0 5 4 2 3 45.2 26 26 200 46 7 1 3 21 5 3 1 5.12 4.48 1.47 93.7 106.5 0.53 0.41
50 안영명 21K 0.51 35 0 0 0 0 1 0 4 35.1 17 16 145 24 3 0 2 11 0 1 0 4.08 3.28 0.99 110.2 135.9 0.51 -0.13
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
51 김민수 19K 0.51 28 0 0 11 8 5 2 1 81.2 46 45 354 87 12 3 10 30 2 2 4 4.96 4.73 1.43 84.0 87.2 0.51 -0.60
52 김민 18K 0.35 9 0 0 9 4 2 0 0 37.1 26 21 178 40 10 0 4 25 0 6 5 5.06 6.38 1.74 104.7 81.4 0.35 -0.63
53 김사율 18K 0.34 29 0 0 3 1 2 0 0 45.1 32 29 204 56 14 1 12 10 1 2 4 5.76 6.46 1.46 92.0 80.3 0.34 -0.87
54 데스파이네 22K 0.22 14 0 0 14 3 7 0 0 78.1 47 39 344 97 17 0 5 16 1 5 5 4.48 3.08 1.44 88.0 126.4 0.22 -1.11
55 고창성 18K 0.18 42 0 0 0 2 0 0 5 37.2 29 28 183 57 7 0 7 11 1 5 1 6.69 6.22 1.81 79.2 83.3 0.18 -0.93
56 엄상백 18K 0.17 55 0 0 0 1 8 2 12 46.1 33 28 211 51 9 1 4 17 5 8 3 5.44 4.35 1.47 97.4 119.7 0.17 -1.17
57 신병률 18K -0.06 21 0 0 1 0 0 1 2 25.2 22 20 120 35 10 1 6 7 0 3 1 7.01 6.95 1.64 75.6 74.5 -0.06 -0.80
