"순 이름 팀 정렬
출루
장타
OPS
wOBA
wRC+"
1 삼성 15 33.76 1771 5803 5019 897 1515 259 25 176 2352 850 157 52 581 70 21 930 109 76 57 .302 .378 .469 .847 .373 115.3 33.76 19.23
2 넥센 15 31.63 1769 5811 5069 904 1512 304 20 203 2465 855 100 47 544 82 18 1098 112 61 55 .298 .372 .486 .858 .376 115.4 31.63 19.10
3 두산 15 31.61 1704 5759 4957 807 1436 254 22 140 2154 770 111 47 567 99 24 820 139 75 60 .290 .370 .435 .804 .358 112.1 31.61 14.48
4 NC 15 30.27 1960 5727 4967 844 1437 283 28 161 2259 802 204 60 536 106 24 1023 105 64 53 .289 .367 .455 .822 .363 110.9 30.27 13.28
5 롯데 15 21.70 1821 5680 4972 765 1393 254 19 177 2216 727 104 50 532 68 22 1186 136 80 28 .280 .356 .446 .802 .354 102.9 21.70 6.75
6 SK 15 19.00 1845 5588 4861 693 1323 214 10 145 1992 656 94 59 490 98 13 1047 113 110 29 .272 .349 .410 .759 .338 95.4 19.00 2.64
7 kt 15 16.15 1965 5605 4927 670 1344 221 15 129 1982 633 124 52 507 58 21 1112 118 75 37 .273 .345 .402 .748 .335 88.7 16.15 2.19
8 한화 15 15.68 1899 5713 4850 717 1316 218 19 130 1962 667 80 47 581 109 33 1133 112 139 35 .271 .360 .405 .764 .340 89.9 15.68 11.13
9 LG 15 15.28 1988 5599 4941 653 1331 252 22 114 1969 601 113 62 462 80 18 1076 98 75 41 .269 .339 .399 .738 .330 92.1 15.28 0.53
10 KIA 15 5.51 2022 5454 4777 648 1197 223 22 136 1872 602 115 50 454 101 16 1126 105 79 43 .251 .326 .392 .718 .320 79.0 5.51 3.86
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 두산 16 34.81 1812 5841 5044 935 1504 284 25 183 2387 877 85 45 600 86 11 884 121 43 68 .298 .378 .473 .851 .379 116.8 34.81 23.69
2 NC 16 28.87 1941 5833 5007 857 1457 249 19 169 2251 808 99 41 609 93 18 1023 133 70 52 .291 .375 .450 .824 .369 108.6 28.87 16.13
3 넥센 16 23.47 1780 5702 4990 813 1464 254 39 134 2198 765 154 83 556 63 17 956 121 34 59 .293 .368 .440 .808 .364 100.8 23.47 16.99
4 삼성 16 22.21 1808 5863 5093 852 1492 249 34 142 2235 792 104 50 552 75 15 864 119 88 55 .293 .367 .439 .806 .360 100.1 22.21 13.64
5 롯데 16 21.46 1840 5784 5001 777 1439 252 20 127 2112 732 145 64 596 83 18 1061 120 62 41 .288 .370 .422 .793 .359 100.4 21.46 14.15
