,name,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,wpa,year,team
30,임기영,0.86,10,0,0,10,2,4,0,0,57.1,26,26,239,59,8,1,9,11,0,0,41,0,1,4.08,4.51,1.22,95.9,86.7,0.07,22,KIA
31,유승철,0.84,39,0,0,0,1,0,1,3,47.1,25,23,220,49,10,1,5,29,3,4,44,0,4,4.37,5.25,1.65,117.4,98.3,-0.81,18,KIA
32,황인준,0.77,37,0,0,2,3,1,0,1,52.2,31,29,229,58,13,1,9,12,0,6,35,0,0,4.96,5.75,1.33,103.6,89.6,-0.23,18,KIA
33,팻딘,0.72,36,0,0,21,6,7,0,2,129.1,96,90,588,174,29,1,23,27,2,4,101,0,3,6.26,5.26,1.55,82.0,98.1,-2.78,18,KIA
34,임기준,0.65,52,0,0,0,2,2,0,6,36.2,17,14,162,32,5,0,1,16,0,4,24,0,2,3.44,4.09,1.31,122.0,102.7,0.04,19,KIA
35,윤중현,0.51,25,0,0,0,2,0,0,3,36.0,16,14,155,35,5,0,3,11,0,3,23,0,1,3.5,4.29,1.28,111.8,91.3,-0.19,22,KIA
36,홍상삼,0.51,49,0,0,0,4,1,0,12,36.0,19,19,160,33,9,0,6,19,2,3,33,0,3,4.75,5.33,1.44,93.6,82.8,0.4,21,KIA
37,놀린,0.48,8,0,0,8,2,5,0,0,43.1,21,17,187,49,11,2,4,4,0,3,35,1,2,3.53,3.39,1.22,110.9,115.4,-0.15,22,KIA
38,이의리,0.46,14,0,0,14,4,4,0,0,76.0,39,33,330,65,17,3,10,30,0,4,75,0,5,3.91,4.4,1.25,100.2,88.9,0.06,22,KIA
39,한승혁,0.43,21,0,0,19,7,3,0,0,88.0,62,57,406,105,18,3,8,44,1,4,65,0,16,5.83,5.14,1.69,88.0,100.4,-1.58,18,KIA
40,차명진,0.43,9,0,0,6,3,1,0,0,33.0,17,16,151,35,9,0,1,18,0,2,19,0,3,4.36,4.46,1.61,96.1,93.8,0.25,19,KIA
41,임기영,0.41,29,0,0,19,8,9,0,2,105.0,79,73,491,145,24,0,20,34,2,12,68,0,2,6.26,6.27,1.71,82.0,82.2,-1.61,18,KIA
42,김재열,0.39,24,0,0,0,1,0,0,0,32.2,18,14,152,28,4,0,4,18,0,4,18,1,1,3.86,5.84,1.41,115.3,76.0,-0.19,21,KIA
43,다카하시,0.37,7,0,0,7,1,3,0,0,36.2,22,20,168,46,4,0,4,12,0,4,46,0,4,4.91,3.55,1.58,90.6,125.6,-0.32,21,KIA
44,김기훈,0.23,22,0,0,7,0,4,0,1,52.0,35,31,238,58,11,1,8,31,0,2,39,0,3,5.37,5.96,1.71,89.5,80.4,-1.26,20,KIA
45,장현식,0.2,35,0,0,0,1,2,1,13,35.0,18,17,155,39,9,1,4,14,2,0,31,0,4,4.37,4.06,1.51,89.5,95.9,-0.39,22,KIA
46,하준영,0.19,59,0,0,0,6,2,0,15,52.2,31,29,243,59,9,1,5,31,2,0,51,0,1,4.96,4.35,1.71,84.6,96.3,-1.62,19,KIA
