,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
37,38,놀린,22K,0.48,8,0,0,8,2,5,0,0,43.1,21,17,187,49,11,2,4,4,0,3,35,1,2,3.53,1.22,110.9,115.4,-0.15
38,39,이의리,22K,0.46,14,0,0,14,4,4,0,0,76.0,39,33,330,65,17,3,10,30,0,4,75,0,5,3.91,1.25,100.2,88.9,0.06
39,40,한승혁,18K,0.43,21,0,0,19,7,3,0,0,88.0,62,57,406,105,18,3,8,44,1,4,65,0,16,5.83,1.69,88.0,100.4,-1.58
40,41,차명진,19K,0.43,9,0,0,6,3,1,0,0,33.0,17,16,151,35,9,0,1,18,0,2,19,0,3,4.36,1.61,96.1,93.8,0.25
41,42,임기영,18K,0.41,29,0,0,19,8,9,0,2,105.0,79,73,491,145,24,0,20,34,2,12,68,0,2,6.26,1.71,82.0,82.2,-1.61
42,43,김재열,21K,0.39,24,0,0,0,1,0,0,0,32.2,18,14,152,28,4,0,4,18,0,4,18,1,1,3.86,1.41,115.3,76.0,-0.19
43,44,다카하시,21K,0.37,7,0,0,7,1,3,0,0,36.2,22,20,168,46,4,0,4,12,0,4,46,0,4,4.91,1.58,90.6,125.6,-0.32
44,45,김기훈,20K,0.23,22,0,0,7,0,4,0,1,52.0,35,31,238,58,11,1,8,31,0,2,39,0,3,5.37,1.71,89.5,80.4,-1.26
45,46,장현식,22K,0.20,35,0,0,0,1,2,1,13,35.0,18,17,155,39,9,1,4,14,2,0,31,0,4,4.37,1.51,89.5,95.9,-0.39
46,47,하준영,19K,0.19,59,0,0,0,6,2,0,15,52.2,31,29,243,59,9,1,5,31,2,0,51,0,1,4.96,1.71,84.6,96.3,-1.62
47,48,고영창,20K,0.12,48,0,0,0,1,1,1,2,58.0,46,44,275,88,19,0,3,17,2,5,23,2,6,6.83,1.81,70.3,106.9,-0.63
48,49,김현수,20K,0.10,15,0,0,4,1,2,0,0,32.1,27,26,167,41,7,3,3,31,0,2,19,0,1,7.24,2.23,66.3,72.1,-0.12
49,50,임기영,19K,0.06,12,0,0,8,2,3,0,0,48.2,33,31,225,67,14,1,7,19,0,2,37,0,0,5.73,1.77,73.1,82.7,-0.64
50,51,윤석민,18K,0.03,28,0,0,3,0,8,11,0,40.0,32,30,182,55,13,0,9,10,2,0,29,0,5,6.75,1.63,76.0,87.2,-2.90
51,52,박진태,21K,0.02,59,0,0,0,3,3,0,9,65.0,44,43,305,68,11,0,6,36,0,13,45,0,5,5.95,1.60,74.7,82.3,-1.08
52,53,이준영,21K,-0.06,50,0,0,1,3,2,1,9,35.2,25,22,159,30,5,0,3,19,1,0,26,0,3,5.55,1.37,80.1,99.1,-0.65
53,54,김기훈,19K,-0.12,19,0,0,16,3,6,0,0,79.1,55,49,368,64,15,2,11,65,0,9,49,0,5,5.56,1.63,75.4,61.6,-1.45
54,55,양승철,20K,-0.17,15,0,0,1,0,0,0,0,28.2,26,25,144,41,9,0,4,24,0,3,13,0,3,7.85,2.27,61.2,65.7,-0.27
55,56,이민우,19K,-0.19,32,0,0,6,2,6,1,2,61.1,42,37,283,74,11,2,4,26,1,4,56,0,3,5.43,1.63,77.2,109.2,-0.72
56,57,한승혁,22K,-0.21,12,0,0,12,2,2,0,0,57.1,36,32,261,71,9,3,2,23,0,4,50,0,5,5.02,1.64,77.9,114.1,-1.06
57,58,박준표,21K,-0.23,32,0,0,0,2,4,0,4,32.0,24,21,158,42,9,1,3,17,0,9,18,0,0,5.91,1.84,75.3,75.9,-1.48
58,59,김세현,18K,-0.23,40,0,0,0,1,6,4,0,40.0,32,30,191,56,13,2,4,17,4,2,32,0,1,6.75,1.83,76.0,110.9,-2.12
59,60,서덕원,21K,-0.29,24,0,0,0,1,0,0,1,32.2,28,27,148,36,8,1,7,14,0,0,24,0,5,7.44,1.53,59.8,74.4,-0.82
60,61,이민우,18K,-0.36,30,0,0,2,2,3,0,4,37.2,34,30,188,52,6,2,4,23,0,5,28,0,2,7.17,1.99,71.6,86.6,-1.06
61,62,이준영,19K,-0.36,37,0,0,1,1,0,0,1,51.0,42,36,244,64,7,2,3,26,2,2,43,1,0,6.35,1.77,66.0,104.6,0.26
62,63,터너,19K,-0.53,28,1,0,28,7,13,0,0,153.1,107,94,714,179,34,3,12,58,0,17,121,0,14,5.52,1.55,76.0,97.2,-1.58
63,64,로니,22K,-0.65,9,0,0,8,3,3,0,0,41.0,32,25,190,42,7,1,6,24,0,3,30,1,2,5.49,1.61,71.3,68.3,-0.98
64,65,이민우,20K,-0.75,22,0,0,22,6,10,0,0,106.0,87,80,486,129,20,4,11,47,0,6,67,0,3,6.79,1.66,70.7,93.3,-2.87
65,66,김유신,21K,-0.76,15,0,0,11,2,6,0,0,54.1,47,46,249,63,12,1,11,35,0,2,29,0,0,7.62,1.80,58.4,63.7,-1.61
66,67,김현수,21K,-0.87,17,0,0,8,1,4,0,0,45.2,43,40,229,57,16,0,8,36,0,3,27,0,1,7.88,2.04,56.4,63.4,-1.36
67,68,홍건희,19K,-1.10,21,0,0,14,2,9,0,0,81.2,70,65,381,112,20,1,12,33,0,3,52,0,7,7.16,1.78,58.5,77.7,-2.02
68,69,이민우,21K,-1.13,16,1,0,12,1,6,0,0,57.0,53,51,275,78,12,3,8,31,0,5,28,1,2,8.05,1.91,55.2,73.0,-1.84
69,70,장현식,20K,-1.47,28,0,0,3,3,4,0,6,31.1,41,39,159,52,13,1,7,16,0,2,22,0,8,11.20,2.17,42.8,70.6,-1.93
