,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
163,26,윌슨,20L,1.10,25,0,0,25,10,8,0,0,144.2,81,71,628,161,23,2,13,39,0,8,109,1,3,4.42,1.38,104.8,110.2,-0.67
164,27,김대현,19L,0.99,41,0,0,2,5,4,0,8,65.2,31,28,282,63,11,1,2,27,1,4,39,0,3,3.84,1.37,107.0,103.4,1.36
165,28,진해수,22L,0.93,35,0,0,0,3,0,0,6,25.0,5,5,104,25,1,1,1,6,0,1,20,0,1,1.80,1.24,213.7,125.0,0.27
166,29,최성훈,21L,0.92,46,0,0,0,1,1,0,3,40.2,14,11,179,40,7,1,2,19,1,1,33,0,0,2.43,1.45,177.2,116.2,-0.22
167,30,진해수,21L,0.89,50,0,0,0,1,0,0,5,44.1,17,12,188,41,4,0,2,18,1,3,39,0,1,2.44,1.33,177.1,124.1,-0.19
168,31,송은범,20L,0.85,56,0,0,1,4,2,2,6,56.0,29,28,247,66,8,1,4,19,1,3,28,0,2,4.50,1.52,102.8,101.0,-0.15
169,32,진해수,19L,0.83,73,0,0,0,3,1,0,20,43.0,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,1.40,122.6,117.0,-0.02
170,33,차우찬,18L,0.81,29,1,0,29,12,10,0,0,170.0,119,115,762,177,36,4,27,79,2,10,136,0,10,6.09,1.51,82.9,85.5,-2.45
171,34,최성훈,20L,0.76,48,0,0,0,0,0,0,2,33.1,13,13,145,36,4,1,1,16,2,1,24,0,1,3.51,1.56,131.8,121.8,-0.14
172,35,이정용,20L,0.72,34,0,0,0,3,0,0,4,34.0,15,14,147,32,5,0,6,14,0,2,33,1,0,3.71,1.35,124.9,85.4,0.45
173,36,이정용,22L,0.71,35,0,0,0,2,3,0,11,35.0,14,12,141,28,9,1,0,8,2,1,21,0,2,3.09,1.03,124.7,144.5,-0.21
174,37,최동환,18L,0.68,28,0,0,0,1,0,0,1,37.0,19,19,156,33,7,0,6,11,0,3,28,0,4,4.62,1.19,109.1,89.5,-0.01
175,38,정찬헌,21L,0.66,12,0,0,12,6,2,0,0,58.0,29,26,249,69,12,2,5,12,0,2,31,0,2,4.03,1.40,106.9,105.0,0.17
176,39,정우영,19L,0.66,56,0,0,0,4,6,1,16,65.1,30,27,273,57,9,2,2,20,5,8,38,1,3,3.72,1.18,110.4,111.6,0.63
177,40,고우석,20L,0.65,40,0,0,0,0,4,17,1,41.2,22,19,183,37,9,0,2,19,1,2,51,0,5,4.10,1.34,112.8,146.5,0.38
178,41,류제국,19L,0.59,11,0,0,11,0,2,0,0,53.1,27,25,243,57,7,2,5,26,1,4,31,0,2,4.22,1.56,97.3,79.9,-0.58
179,42,진해수,20L,0.58,76,0,0,0,4,2,0,22,50.0,27,24,230,54,6,0,3,23,2,4,59,0,5,4.32,1.54,107.1,133.3,-0.37
180,43,김윤식,21L,0.53,35,0,0,3,7,4,0,1,66.2,37,32,301,65,9,2,3,36,2,6,56,2,0,4.32,1.52,99.8,108.1,-0.54
181,44,최동환,22L,0.49,29,0,0,0,0,0,0,0,32.0,13,13,129,24,4,1,2,10,0,1,19,0,1,3.66,1.06,105.2,96.4,0.05
182,45,김윤식,22L,0.46,10,0,0,10,2,3,0,0,47.1,23,21,205,59,9,0,3,10,1,1,30,0,1,3.99,1.46,96.4,109.0,0.14
183,46,송은범,21L,0.43,35,0,0,0,2,2,0,4,37.1,18,17,155,34,7,0,1,13,1,2,19,0,4,4.10,1.26,105.3,116.0,0.37
184,47,배재준,18L,0.41,16,0,0,5,1,0,0,0,38.2,24,19,174,34,11,1,3,20,0,1,41,0,3,4.42,1.40,114.1,115.9,-0.48
185,48,임찬규,18L,0.40,29,0,0,27,11,11,1,0,146.2,104,94,680,195,32,1,23,47,1,13,125,0,6,5.77,1.65,87.5,92.6,-2.78
186,49,김지용,18L,0.35,48,0,0,0,5,6,1,13,47.0,30,28,198,52,9,1,10,9,1,2,42,0,1,5.36,1.30,94.1,90.3,-1.45
187,50,문광은,19L,0.33,32,0,0,0,1,1,1,3,33.0,15,15,141,35,5,1,3,13,0,1,26,0,1,4.09,1.46,100.4,94.7,0.92
188,51,배재준,21L,0.30,15,0,0,6,2,2,0,0,32.2,17,15,151,42,10,0,1,13,0,3,23,0,1,4.13,1.68,104.4,115.7,-0.48
189,52,여건욱,19L,0.29,25,0,0,0,0,0,0,0,29.2,14,13,130,35,11,1,2,8,0,1,24,0,1,3.94,1.45,104.1,114.0,-0.22
190,53,이상영,21L,0.29,21,0,0,9,1,1,0,0,50.0,28,24,228,48,8,0,7,32,0,8,30,0,3,4.32,1.60,99.8,67.7,-0.34
191,54,김진성,22L,0.28,32,0,0,0,2,3,0,5,31.0,15,14,133,33,4,1,5,8,2,1,31,0,2,4.06,1.32,94.7,90.9,-0.27
192,55,차우찬,20L,0.21,13,0,0,13,5,5,0,0,64.0,39,38,287,71,14,1,8,28,1,2,51,0,1,5.34,1.55,86.6,92.8,-0.01
193,56,이우찬,19L,0.16,30,0,0,13,5,4,0,2,91.0,55,49,398,78,14,1,5,66,1,4,58,0,5,4.85,1.58,84.7,80.1,-0.14
194,57,임찬규,19L,0.15,30,0,0,13,2,5,0,2,88.2,51,49,392,84,20,3,10,46,0,7,72,0,7,4.97,1.47,82.5,80.3,-1.21
195,58,이민호,22L,0.08,13,0,0,13,6,4,0,0,63.1,37,33,278,69,12,3,5,24,0,2,33,0,1,4.69,1.47,82.0,84.3,-0.03
196,59,신정락,18L,0.01,49,0,0,1,3,7,0,5,50.2,37,33,227,59,8,0,5,17,0,6,56,0,3,5.86,1.50,86.1,117.5,-1.14
197,60,고우석,18L,-0.01,56,0,0,0,3,5,0,3,67.0,51,44,312,69,12,2,10,37,0,5,44,1,2,5.91,1.58,85.3,79.0,-2.20
198,61,이상규,20L,-0.20,28,0,0,0,2,3,4,1,31.0,23,23,152,45,10,1,4,21,0,1,18,0,2,6.68,2.13,69.3,74.5,-0.98
199,62,김대현,20L,-0.21,33,0,0,0,4,0,0,3,32.1,24,21,158,37,7,2,6,23,1,1,28,0,3,5.85,1.86,79.2,71.7,-0.45
200,63,여건욱,20L,-0.27,25,0,0,0,1,3,1,2,27.2,24,22,124,36,8,1,8,4,0,3,18,0,2,7.16,1.45,64.7,66.3,-0.94
201,64,송은범,19L,-0.27,26,0,0,0,2,3,0,5,25.0,16,15,122,36,3,1,2,10,2,2,21,0,0,5.40,1.84,76.0,102.6,-0.71
202,65,이우찬,21L,-0.28,15,0,0,5,0,1,0,0,34.0,25,21,161,36,3,1,3,25,0,1,27,0,0,5.56,1.79,77.6,83.5,-0.54
203,66,김윤식,20L,-0.28,23,0,0,11,2,4,0,2,67.2,50,47,308,87,16,1,7,24,0,6,38,1,2,6.25,1.64,74.0,90.5,-1.24
204,67,임찬규,22L,-0.30,10,0,0,10,3,5,0,0,40.2,27,27,190,49,7,2,6,17,0,3,26,0,2,5.98,1.62,64.4,69.4,-0.74
205,68,배재준,19L,-0.34,19,0,0,12,3,4,0,0,62.0,42,36,282,61,17,1,3,33,0,8,44,0,3,5.23,1.52,78.6,89.1,-0.63
206,69,임준형,22L,-0.42,9,0,0,5,1,3,0,0,29.0,22,20,134,35,4,0,2,12,0,3,24,0,1,6.21,1.62,62.0,93.0,-1.03
207,70,이동현,18L,-0.47,36,0,0,0,2,1,0,4,36.1,35,32,167,49,10,0,6,7,0,3,23,0,0,7.93,1.54,63.6,89.9,-0.34
208,71,진해수,18L,-0.49,66,0,0,0,2,3,0,14,43.2,37,35,210,63,6,1,7,13,2,4,37,0,1,7.21,1.74,69.9,94.7,-1.46
209,72,손주영,21L,-0.63,7,0,0,6,1,3,0,0,26.2,25,25,127,31,7,2,4,20,0,1,21,0,1,8.44,1.91,51.1,70.6,-0.88
210,73,김대현,18L,-1.19,25,0,0,21,2,10,0,0,105.0,95,88,496,145,25,5,15,48,0,9,64,2,7,7.54,1.84,66.9,82.2,-3.86
211,1,루친스키,20N,5.59,30,0,0,30,19,5,0,0,183.0,67,62,770,173,12,3,14,57,0,11,167,0,11,3.05,1.26,160.2,125.8,3.04
212,2,루친스키,19N,4.64,30,2,0,30,9,9,0,0,177.1,68,60,731,164,20,1,13,45,0,11,119,0,7,3.05,1.18,138.4,106.6,2.51
213,3,구창모,20N,4.62,15,0,0,14,9,0,0,1,93.1,20,18,348,58,12,0,7,18,0,0,102,0,2,1.74,0.81,281.5,165.6,2.80
214,4,루친스키,21N,4.48,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24,1,12,55,0,10,177,2,6,3.17,1.20,143.1,135.9,1.88
215,5,박진우,19N,3.82,41,0,0,18,9,7,0,5,140.2,53,49,590,137,18,0,9,29,0,19,92,0,2,3.14,1.18,134.4,106.8,2.46
216,6,파슨스,21N,3.71,24,1,0,24,4,8,0,0,133.0,56,55,577,109,16,2,9,63,0,11,148,1,10,3.72,1.29,122.0,123.3,0.50
217,7,루친스키,22N,2.81,15,0,0,15,5,5,0,0,98.2,34,27,396,82,14,1,7,13,0,5,110,0,6,2.46,0.96,159.1,155.1,2.53
218,8,구창모,19N,2.67,23,0,0,19,10,7,0,1,107.0,40,38,449,85,15,2,10,42,0,5,114,0,7,3.20,1.19,131.8,111.5,1.09
219,9,이재학,18N,2.67,29,1,0,29,5,13,0,0,152.1,87,81,658,157,27,2,13,49,2,10,116,0,6,4.79,1.35,108.4,115.4,-1.06
220,10,신민혁,21N,2.65,30,0,0,25,9,6,0,0,145.0,75,71,625,155,28,3,17,44,0,5,107,2,2,4.41,1.37,103.0,102.9,0.11
221,11,프리드릭,19N,2.38,12,2,1,12,7,4,0,0,72.0,22,22,294,63,6,0,4,22,1,3,56,0,2,2.75,1.18,153.2,118.3,0.79
222,12,송명기,20N,2.31,36,0,0,12,9,3,0,0,87.2,37,36,372,78,13,0,12,39,1,2,72,0,7,3.70,1.34,132.2,95.9,0.10
223,13,왕웨이중,18N,2.28,25,0,0,25,7,10,0,0,141.2,83,67,615,169,25,1,16,40,2,2,108,0,2,4.26,1.48,121.9,113.5,-0.52
224,14,베렛,18N,2.22,29,0,0,29,6,10,0,0,155.0,94,91,698,178,31,2,24,59,0,9,144,1,10,5.28,1.53,98.2,99.1,-2.29
225,15,구창모,22N,2.08,5,0,0,5,4,0,0,0,28.2,1,1,109,16,2,0,0,9,0,0,26,0,2,0.31,0.87,1247.9,161.1,1.15
226,16,라이트,20N,2.01,29,0,0,29,11,9,0,0,157.2,87,82,696,164,27,2,12,63,0,10,125,2,5,4.68,1.44,104.4,111.0,-1.57
227,17,이용찬,21N,1.71,39,0,0,0,1,3,16,3,37.0,11,9,151,27,4,0,2,11,3,1,35,1,2,2.19,1.03,207.4,156.6,0.12
228,18,이재학,19N,1.70,24,0,0,23,10,4,0,0,129.2,62,55,560,133,24,2,6,43,0,9,91,0,6,3.82,1.36,110.4,110.9,0.29
229,19,구창모,18N,1.63,36,0,0,23,5,11,0,1,133.0,83,79,598,158,31,2,21,52,0,7,116,1,16,5.35,1.58,97.1,96.1,-1.07
230,20,이용찬,22N,1.49,26,0,0,0,2,2,9,0,28.0,6,5,115,23,2,1,1,5,0,2,30,0,1,1.61,1.00,243.8,165.2,1.03
231,21,김진성,20N,1.46,48,0,0,0,3,0,0,6,47.1,16,14,190,41,8,2,4,10,1,0,56,0,2,2.66,1.08,183.5,169.7,1.13
232,22,최성영,19N,1.45,26,0,0,15,4,1,0,2,82.1,39,36,368,79,15,3,3,48,0,4,62,0,3,3.94,1.54,107.1,98.9,-0.01
233,23,홍성민,20N,1.39,30,0,0,0,1,0,0,8,26.0,4,3,104,20,4,0,2,6,1,2,14,0,2,1.04,1.00,470.5,112.6,1.38
234,24,류진욱,21N,1.15,44,0,0,0,1,0,1,7,43.1,15,10,190,40,6,1,2,22,0,0,31,0,4,2.08,1.43,218.6,111.9,0.55
235,25,원종현,20N,1.09,58,0,0,0,3,5,30,0,57.0,30,27,245,56,5,1,4,20,1,2,41,0,4,4.26,1.33,114.6,116.7,0.60
236,26,홍성민,21N,0.95,53,0,0,0,3,4,0,14,41.1,19,18,185,53,9,0,3,12,1,2,26,1,2,3.92,1.57,115.8,113.7,-0.06
237,27,원종현,21N,0.91,61,0,0,0,2,2,14,6,53.0,27,25,245,67,9,0,5,23,2,3,45,0,4,4.25,1.70,107.0,107.0,-1.58
238,28,파슨스,22N,0.88,8,0,0,8,1,2,0,0,43.0,19,17,182,34,4,2,4,21,0,1,43,0,8,3.56,1.28,110.1,98.1,0.12
239,29,원종현,18N,0.88,59,0,0,0,3,6,2,17,64.1,38,37,275,78,5,1,7,22,1,2,36,0,5,5.18,1.55,100.3,101.0,-1.21
240,30,배재환,20N,0.87,53,0,0,0,1,3,0,12,43.0,22,19,209,38,7,2,4,35,3,9,33,2,5,3.98,1.70,122.9,79.3,-1.88
241,31,배재환,18N,0.79,31,0,0,0,3,3,1,2,36.0,18,18,169,37,5,1,6,25,1,1,34,0,3,4.50,1.72,115.3,85.0,-1.11
242,32,김시훈,22N,0.73,23,0,0,7,2,2,0,3,50.0,24,21,222,47,7,0,4,29,0,1,45,1,0,3.78,1.52,103.6,91.4,0.43
243,33,임정호,20N,0.64,69,0,0,0,2,2,0,22,41.0,23,21,175,32,3,0,3,20,0,7,38,0,0,4.61,1.27,106.0,104.2,1.35
244,34,김정훈,19N,0.62,44,0,0,0,0,2,0,7,51.1,23,21,215,49,11,0,5,16,0,4,32,0,3,3.68,1.27,114.5,91.9,0.66
245,35,원종현,22N,0.61,31,0,0,0,3,0,1,4,31.1,13,12,134,33,5,0,3,8,0,1,23,0,0,3.45,1.31,113.7,100.6,0.09
246,36,배재환,19N,0.60,62,0,0,0,3,5,0,20,54.1,26,22,247,49,9,0,3,31,2,7,61,1,2,3.64,1.47,115.6,109.5,-0.66
247,37,신민혁,22N,0.59,11,0,0,11,2,5,0,0,60.1,30,28,265,63,17,1,5,17,1,8,52,0,4,4.18,1.33,93.8,102.7,-0.03
248,38,이재학,21N,0.53,17,2,1,17,6,6,0,0,83.0,50,48,370,74,16,1,14,52,0,6,65,0,3,5.20,1.52,87.2,74.8,-0.45
249,39,김건태,20N,0.50,33,0,0,0,1,1,0,4,35.0,19,19,155,29,6,0,4,25,0,2,37,0,3,4.89,1.54,100.0,92.4,-0.26
250,40,강윤구,19N,0.44,67,0,0,0,3,3,0,15,56.1,29,28,242,55,4,4,4,24,2,4,49,0,2,4.47,1.40,94.2,106.3,0.47
251,41,최성영,18N,0.43,28,0,0,8,2,2,1,0,64.1,43,42,282,66,14,0,11,25,1,4,57,0,6,5.88,1.42,88.3,94.1,-0.31
252,42,이형범,18N,0.42,23,0,0,4,1,1,0,0,54.0,36,31,238,62,11,0,5,24,2,1,22,0,3,5.17,1.59,100.5,95.5,-0.42
253,43,원종현,19N,0.41,60,0,0,0,3,3,31,0,60.0,31,27,256,62,9,2,4,17,2,3,59,0,5,4.05,1.32,104.0,132.1,0.74
254,44,최금강,21N,0.41,20,0,0,0,2,1,1,0,28.0,14,14,129,29,6,0,4,17,0,2,25,0,3,4.50,1.64,100.9,83.2,-0.36
255,45,임창민,21N,0.39,46,0,0,0,0,3,0,17,40.1,23,17,178,35,8,0,2,20,1,4,29,0,7,3.79,1.36,119.7,105.8,0.23
256,46,김영규,21N,0.32,37,0,0,8,5,3,0,6,63.2,40,38,286,69,8,0,10,28,0,1,42,0,3,5.37,1.52,84.5,83.6,-0.56
257,47,박정수,20N,0.31,15,0,0,3,1,1,0,1,25.2,14,14,116,20,3,0,3,20,0,5,24,0,1,4.91,1.56,99.5,78.9,-0.27
258,48,배민서,21N,0.30,32,0,0,2,1,0,0,0,40.0,26,22,187,51,6,0,3,17,0,4,23,0,3,4.95,1.70,91.7,95.1,0.40
259,49,임정호,21N,0.27,60,0,0,0,0,4,0,12,34.2,20,16,165,37,4,1,2,25,2,3,24,0,0,4.15,1.79,109.3,91.0,-0.66
260,50,김영규,22N,0.23,36,0,0,0,0,6,1,5,32.1,17,17,134,36,6,1,3,8,2,2,28,0,2,4.73,1.36,82.8,112.6,-1.20
261,51,김영규,19N,0.18,30,1,1,10,5,4,0,1,66.1,40,39,307,82,6,1,7,31,0,6,46,0,4,5.29,1.70,79.6,83.4,-0.63
262,52,이민호,18N,0.15,50,0,0,0,5,4,14,0,50.0,34,26,224,52,9,0,8,19,1,3,42,1,2,4.68,1.42,110.9,95.8,-1.93
263,53,정수민,18N,0.14,25,0,0,7,2,5,0,1,58.0,43,39,278,69,8,2,10,33,0,3,38,0,7,6.05,1.76,85.8,79.5,-1.15
264,54,문경찬,21N,0.13,35,0,0,0,0,1,0,4,31.0,20,17,142,25,6,0,6,20,1,0,25,0,1,4.94,1.45,92.0,74.8,-0.19
265,55,박진우,20N,0.13,43,0,0,1,2,2,0,7,43.0,29,25,194,47,7,0,2,13,1,6,22,0,0,5.23,1.40,93.4,109.5,-0.38
266,56,송명기,21N,0.10,24,0,0,24,8,9,0,0,123.1,83,81,574,147,39,2,12,58,1,9,102,1,2,5.91,1.66,76.8,99.3,-0.74
267,57,송명기,22N,0.09,10,0,0,10,2,4,0,0,49.0,28,26,225,50,8,2,6,24,0,10,49,0,2,4.78,1.51,82.0,79.8,-0.03
268,58,김건태,18N,0.06,21,0,0,9,2,3,0,0,53.0,38,32,247,60,11,1,7,24,0,7,39,1,3,5.43,1.59,95.5,90.1,-0.73
269,59,신민혁,20N,0.06,17,0,0,7,2,3,0,0,42.0,27,27,196,57,7,0,10,13,0,3,26,0,0,5.79,1.67,84.4,74.3,-0.70
270,60,버틀러,19N,0.04,13,0,0,13,3,6,0,0,73.2,46,39,326,78,18,1,6,28,1,2,49,0,4,4.76,1.44,88.4,97.8,-1.15
271,61,김영규,20N,0.04,20,0,0,13,2,2,0,1,67.2,47,41,296,83,9,2,12,14,0,2,55,2,5,5.45,1.43,89.6,98.5,-1.22
272,62,김진성,19N,0.04,42,0,0,0,1,2,0,5,42.0,25,20,178,39,10,1,6,15,1,2,35,1,6,4.29,1.29,98.3,89.3,-0.31
273,63,장현식,19N,0.02,53,0,0,0,5,4,0,9,54.2,31,28,246,58,7,1,9,23,0,4,49,0,6,4.61,1.48,91.4,81.0,-0.48
274,64,유원상,18N,-0.00,41,0,0,0,1,4,0,5,47.1,37,34,225,63,17,1,5,17,1,5,30,0,5,6.46,1.69,80.3,99.7,-2.03
275,65,임창민,20N,-0.01,44,0,0,0,7,2,0,11,37.2,26,22,179,39,10,1,4,23,1,2,44,0,3,5.26,1.65,92.9,107.4,-1.60
276,66,문경찬,20N,-0.05,31,0,0,0,0,3,0,11,28.0,20,15,116,22,5,0,5,9,0,0,18,0,0,4.82,1.11,101.3,87.5,-0.43
277,67,강윤구,18N,-0.11,69,0,0,0,7,5,1,17,54.2,41,37,243,54,10,1,10,26,0,1,65,0,4,6.09,1.46,85.2,98.9,-0.64
278,68,최성영,20N,-0.14,14,0,0,13,2,4,0,0,60.2,45,41,278,67,14,0,13,35,0,3,27,0,2,6.08,1.68,80.3,66.3,-2.09
279,69,장현식,18N,-0.22,21,0,0,0,3,2,2,1,26.2,22,22,126,31,5,0,7,17,1,0,24,0,3,7.43,1.80,69.9,72.9,-0.87
280,70,이재학,22N,-0.23,11,0,0,11,0,7,0,0,45.2,30,26,206,36,7,0,2,28,0,7,37,0,3,5.12,1.40,76.5,86.9,-0.75
281,71,노성호,18N,-0.24,20,0,0,4,1,2,0,0,32.2,29,26,158,35,7,1,6,29,1,1,36,0,7,7.16,1.96,72.5,78.8,-1.11
282,72,김진성,18N,-0.26,50,0,0,0,3,2,0,5,45.1,38,36,207,56,9,4,13,19,1,2,38,1,3,7.15,1.65,72.6,73.3,-0.76
283,73,최금강,18N,-0.33,19,0,0,4,0,1,0,1,37.1,36,35,183,51,10,0,8,22,0,2,18,1,3,8.44,1.96,61.5,69.6,-0.79
284,74,이재학,20N,-0.50,19,0,0,19,5,6,0,0,90.2,66,66,410,105,21,1,14,43,0,5,61,1,4,6.55,1.63,74.6,83.5,-1.36
285,75,김진성,21N,-1.07,42,0,0,0,2,4,1,9,37.2,34,30,174,43,10,0,7,18,3,1,37,0,2,7.17,1.62,63.3,89.9,-1.25
286,1,폰트,22S,4.41,15,1,0,15,9,4,0,0,102.0,23,22,379,62,13,2,7,13,1,2,95,0,3,1.94,0.74,207.1,146.5,2.92
287,2,김광현,22S,3.07,12,0,0,12,7,1,0,0,76.0,18,13,302,53,10,0,2,19,2,1,75,0,1,1.54,0.95,261.1,167.8,1.76
288,3,폰트,21S,2.94,26,0,0,26,8,5,0,0,145.2,66,56,604,114,22,1,12,45,1,6,157,1,2,3.46,1.09,129.7,139.2,0.56
289,4,김택형,21S,2.83,59,0,0,0,5,1,7,4,75.1,23,20,316,61,11,0,3,42,5,3,62,0,3,2.39,1.37,187.8,118.9,2.25
290,5,이태양,22S,2.21,16,0,0,10,4,2,0,1,70.0,21,21,283,61,13,0,7,16,2,3,42,0,0,2.70,1.10,148.9,96.9,1.43
291,6,서진용,21S,1.70,65,0,0,0,7,5,9,3,67.1,28,25,297,57,8,1,9,43,7,0,62,0,3,3.34,1.49,134.3,94.3,-1.92
292,7,박종훈,21S,1.61,9,0,0,9,4,2,0,0,54.1,19,17,222,40,7,0,2,17,0,7,41,2,0,2.82,1.05,159.3,124.6,1.02
293,8,오원석,22S,1.38,14,0,0,14,5,4,0,0,79.2,36,35,337,76,11,1,7,35,0,2,66,0,1,3.95,1.39,101.7,95.9,0.60
294,9,문승원,21S,1.33,9,0,0,9,2,2,0,0,50.1,20,16,212,42,14,0,1,18,0,2,32,0,1,2.86,1.19,156.8,127.9,0.31
295,10,서진용,22S,1.27,35,0,0,0,3,1,8,11,35.2,11,11,141,27,3,1,1,12,0,0,30,0,1,2.78,1.09,144.8,132.9,1.69
296,11,장지훈,21S,1.11,60,0,0,0,2,5,1,10,80.1,40,35,342,84,12,2,6,19,1,4,51,1,1,3.92,1.28,114.4,117.5,-0.67
297,12,박민호,21S,0.82,40,0,0,0,4,0,0,5,41.0,18,18,177,45,5,0,3,11,0,4,19,0,0,3.95,1.37,113.6,101.5,0.16
298,13,최민준,22S,0.62,22,0,0,0,3,0,0,3,30.0,12,12,127,21,3,1,5,18,2,1,21,0,6,3.60,1.30,111.7,69.7,-0.29
299,14,장지훈,22S,0.49,22,0,0,0,1,0,0,4,28.2,12,12,120,32,4,1,3,6,1,1,15,0,1,3.77,1.33,106.7,94.2,-0.71
300,15,김상수,21S,0.32,50,0,0,0,4,3,6,5,58.1,33,33,273,71,8,0,10,30,3,1,44,0,2,5.09,1.73,88.1,83.0,-0.04
301,16,고효준,22S,0.26,28,0,0,0,1,0,0,7,25.2,13,12,112,21,4,2,0,14,2,1,23,0,3,4.21,1.36,95.5,131.1,0.93
302,17,서동민,21S,0.23,20,0,0,0,0,0,0,0,26.1,15,15,118,27,4,1,5,17,0,1,24,0,1,5.13,1.67,87.5,75.7,0.08
303,18,이태양,21S,0.16,40,0,0,14,5,10,0,4,103.2,66,66,456,123,23,1,25,32,1,1,62,0,2,5.73,1.50,78.3,73.8,-1.18
304,19,김태훈,21S,0.05,65,0,0,0,2,4,1,16,58.0,35,32,269,55,5,0,7,39,3,9,49,1,4,4.97,1.62,90.4,82.1,-0.06
305,20,신재영,21S,0.05,20,0,0,1,0,0,0,0,28.1,18,18,124,35,5,1,3,2,0,4,27,0,1,5.72,1.31,78.5,133.3,-0.54
306,21,가빌리오,21S,0.02,15,0,0,15,6,4,0,0,81.1,54,53,351,88,18,0,7,30,1,6,70,0,3,5.86,1.45,76.5,113.0,-0.68
307,22,최민준,21S,0.02,38,0,0,12,3,3,0,4,86.0,56,56,398,93,17,0,11,50,0,7,62,1,5,5.86,1.66,76.6,81.9,-1.71
308,23,김택형,22S,-0.08,28,0,0,0,1,2,15,3,26.0,15,15,111,21,2,0,2,10,0,2,33,0,4,5.19,1.19,77.4,128.8,0.17
309,24,조영우,21S,-0.11,30,0,0,8,4,8,1,0,66.2,46,42,291,74,10,2,10,26,0,0,48,0,3,5.67,1.50,79.1,90.8,-0.32
310,25,정수민,21S,-0.27,10,0,0,7,1,2,0,0,30.1,24,23,151,34,5,1,6,27,1,1,22,0,1,6.82,2.01,65.8,63.8,-0.59
311,26,노바,22S,-0.85,12,0,0,12,3,4,0,0,63.2,50,46,291,78,10,2,5,25,0,5,32,1,9,6.50,1.62,61.8,84.3,-0.80
312,27,오원석,21S,-1.00,33,0,0,21,7,6,0,2,110.0,84,72,530,125,20,3,11,73,1,10,95,1,2,5.89,1.80,76.2,88.2,-2.81
313,1,김광현,19S,6.39,31,0,0,30,17,6,0,0,190.1,64,53,786,198,17,0,13,38,1,2,180,0,8,2.51,1.24,169.8,142.2,3.28
314,2,산체스,19S,5.93,28,0,0,28,17,5,0,0,165.0,51,48,671,151,18,2,2,42,0,2,148,2,11,2.62,1.17,162.5,163.8,3.64
315,3,김광현,18S,5.26,25,0,0,25,11,8,0,0,136.0,48,45,554,125,16,2,16,30,0,2,130,0,3,2.98,1.14,176.5,127.4,1.91
316,4,켈리,18S,3.89,28,0,0,28,12,7,0,0,158.1,78,72,674,152,28,3,18,47,1,13,161,2,5,4.09,1.26,128.5,120.4,-0.45
317,5,문승원,20S,3.82,25,1,0,25,6,8,0,0,145.2,64,59,610,136,29,0,13,45,0,6,117,0,2,3.65,1.24,132.3,117.1,0.65
318,6,박종훈,18S,3.38,30,0,0,30,14,8,0,0,159.1,81,74,702,158,31,3,16,54,0,20,133,0,3,4.18,1.33,125.8,108.3,-0.38
319,7,하재훈,19S,3.09,61,0,0,0,5,3,36,3,59.0,13,13,245,47,11,0,1,26,2,1,64,1,0,1.98,1.24,214.6,154.7,3.47
320,8,문승원,19S,2.89,26,0,0,23,11,7,0,2,144.0,63,62,586,130,13,5,23,33,1,3,99,0,0,3.88,1.13,109.8,89.6,0.72
321,9,서진용,19S,2.63,72,0,0,0,3,1,4,33,68.0,19,18,279,53,9,2,2,28,4,2,76,0,1,2.38,1.19,178.6,157.4,2.87
322,10,문승원,18S,2.41,31,0,0,27,8,9,1,1,150.2,86,77,656,180,33,2,24,37,0,4,122,0,4,4.60,1.44,114.3,104.0,-1.49
323,11,박민호,20S,2.29,57,0,0,0,2,1,4,11,52.0,16,14,215,43,9,0,4,19,0,2,36,0,0,2.42,1.19,199.1,110.8,-0.61
324,12,김태훈,18S,2.26,61,0,0,4,9,3,0,10,94.0,44,40,394,88,17,0,8,36,4,2,93,0,11,3.83,1.32,137.3,130.6,-0.02
325,13,박종훈,19S,2.10,28,0,0,28,8,11,0,0,144.0,72,62,643,157,29,0,12,59,0,13,100,0,1,3.88,1.50,109.8,92.8,0.73
326,14,소사,19S,1.93,16,0,0,16,9,3,0,0,94.1,42,40,387,85,6,0,15,23,0,2,96,1,3,3.82,1.15,111.5,103.0,1.38
327,15,박종훈,20S,1.90,29,0,0,28,13,11,0,0,157.1,90,84,691,146,21,3,14,78,1,22,134,0,5,4.81,1.42,100.4,99.5,-1.54
328,16,산체스,18S,1.88,29,0,0,26,8,8,0,1,145.1,90,79,632,161,21,3,26,39,1,7,124,0,12,4.89,1.38,107.5,98.8,-1.34
329,17,신재웅,18S,1.68,54,0,0,0,2,3,16,6,52.0,23,16,226,49,3,0,5,28,0,1,43,0,3,2.77,1.48,189.9,102.8,-0.38
330,18,다익손,19S,1.41,12,0,0,12,3,2,0,0,65.2,29,26,280,65,13,2,7,18,0,2,58,0,1,3.56,1.26,119.4,109.4,0.38
331,19,박민호,19S,1.26,47,0,0,0,3,1,0,4,50.1,17,15,209,49,10,0,2,14,0,4,22,0,0,2.68,1.25,158.7,102.7,-0.28
