"순 이름 팀 정렬
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
31 김준태 22KC 1.11 44 132 110 14 32 9 1 1 46 12 0 0 19 0 0 35 2 1 2 .291 .389 .418 .808 .372 133.9 1.11 0.68
32 김민혁 19KLF 1.00 127 521 466 68 131 10 1 0 143 32 22 10 32 13 0 61 8 5 5 .281 .341 .307 .648 .309 82.7 1.00 -0.27
33 오승택 19K1B 0.89 62 199 187 36 52 11 1 4 77 22 9 0 11 0 0 39 4 0 1 .278 .317 .412 .728 .334 101.2 0.89 0.48
34 김민혁 21KLF 0.87 75 198 171 22 54 6 2 1 67 13 6 3 20 2 0 27 3 5 0 .316 .394 .392 .786 .367 115.7 0.87 0.14
35 장성우 18KC 0.79 127 393 356 41 92 13 0 13 144 48 1 1 32 2 0 82 8 1 2 .258 .321 .404 .726 .320 79.1 0.79 -1.09
36 호잉 21KRF 0.76 68 294 259 32 62 11 1 11 108 52 5 2 26 4 2 52 2 0 5 .239 .313 .417 .730 .332 93.5 0.76 -0.01
37 윤석민 18K1B 0.74 132 509 460 58 127 22 0 19 206 60 4 1 40 4 2 69 17 2 3 .276 .337 .448 .785 .340 92.2 0.74 0.31
38 심우준 22KSS 0.73 62 202 174 28 44 2 2 0 50 12 11 2 18 1 0 34 6 7 2 .253 .323 .287 .610 .284 73.1 0.73 -0.94
39 오윤석 22K2B 0.71 59 195 165 13 41 8 0 3 58 25 2 1 19 4 0 37 6 3 4 .248 .333 .352 .685 .317 97.0 0.71 0.19
40 배정대 22KCF 0.67 67 248 221 21 56 10 0 2 72 16 9 2 21 2 0 52 0 2 2 .253 .321 .326 .647 .304 87.4 0.67 -1.58
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
41 유한준 20KDH 0.63 119 428 386 48 108 17 0 11 158 64 0 0 40 0 2 51 9 1 1 .280 .347 .409 .756 .345 99.2 0.63 0.83
42 오윤석 21K2B 0.59 64 122 95 14 24 4 0 2 34 11 2 0 20 2 0 26 2 5 0 .253 .393 .358 .751 .352 106.1 0.59 -0.71
43 알몬테 21KLF 0.57 60 249 224 18 61 9 0 7 91 36 1 0 22 1 0 49 9 0 2 .272 .337 .406 .744 .347 102.5 0.57 -0.46
44 조용호 19KRF 0.53 87 211 188 15 55 6 3 0 67 19 3 4 21 0 0 28 0 2 0 .293 .364 .356 .720 .339 103.2 0.53 0.17
45 이진영 18KDH 0.48 110 312 283 40 90 17 1 3 118 39 2 1 25 0 1 35 3 1 3 .318 .370 .417 .787 .351 98.4 0.48 1.46
46 송민섭 21KRF 0.46 122 64 47 39 11 0 0 0 11 7 15 1 12 0 0 21 0 5 0 .234 .390 .234 .624 .303 73.1 0.46 0.35
47 권동진 21KSS 0.42 86 85 66 21 17 5 0 1 25 6 3 3 18 0 0 30 0 1 0 .258 .417 .379 .796 .382 124.9 0.42 -0.03
