31 홍건희 20두 0.86 50 0 0 0 3 4 1 8 56.2 31 30 251 63 12 1 5 20 0 5 51 0 3 4.76 4.23 1.47 97.2 109.3 0.86 -0.59
32 함덕주 19두 0.82 61 0 0 0 2 5 16 7 54.2 24 21 236 39 7 1 6 34 4 1 48 0 2 3.46 4.78 1.34 118.7 84.8 0.82 1.14
33 최원준 22두 0.82 13 0 0 13 4 5 0 0 72.2 34 24 305 74 12 0 9 13 0 1 54 0 1 2.97 4.00 1.20 128.3 93.5 0.82 0.05
34 김민규 20두 0.64 29 0 0 4 1 2 1 0 53.1 30 29 231 47 14 0 3 22 2 3 54 0 1 4.89 3.56 1.29 94.7 130.7 0.64 0.19
35 김명신 21두 0.57 58 0 0 1 3 2 0 2 67.0 37 32 289 72 14 3 6 14 1 6 43 0 1 4.30 4.06 1.28 100.3 105.9 0.57 -0.19
36 곽빈 22두 0.54 12 0 0 12 3 6 0 0 63.1 32 26 281 56 12 0 6 35 0 4 56 0 5 3.69 4.60 1.44 103.2 82.1 0.54 0.02
37 이승진 20두 0.39 33 0 0 5 2 4 0 5 51.1 33 32 228 55 12 2 3 22 1 2 54 0 0 5.61 3.56 1.50 82.6 130.7 0.39 -0.66
38 박치국 19두 0.36 61 0 0 0 2 2 3 14 52.0 26 26 229 64 14 1 5 14 2 5 35 0 3 4.50 4.29 1.50 91.2 94.6 0.36 -1.07
39 유희관 20두 0.15 27 0 0 27 10 11 0 0 136.1 91 76 622 190 37 5 14 39 4 3 56 0 1 5.02 4.91 1.68 92.3 94.3 0.15 -2.34
40 박종기 21두 -0.23 22 0 0 5 0 4 0 0 59.2 42 38 274 69 10 1 3 29 0 3 33 0 3 5.73 4.49 1.64 75.3 97.3 -0.23 -1.66
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 백정현 21삼 5.28 27 0 0 27 14 5 0 0 157.2 54 46 648 142 25 1 15 54 2 2 109 0 5 2.63 4.21 1.24 171.9 107.3 5.28 1.78
2 원태인 21삼 4.76 26 0 0 26 14 7 0 0 158.2 59 54 655 147 32 1 11 51 1 5 129 1 5 3.06 3.65 1.25 147.4 123.4 4.76 2.41
3 뷰캐넌 20삼 4.68 27 1 0 27 15 7 0 0 174.2 71 67 728 172 19 2 16 50 0 7 121 0 2 3.45 4.34 1.27 142.1 112.2 4.68 1.62
4 뷰캐넌 21삼 4.55 30 1 1 30 16 5 0 0 177.0 71 61 758 173 25 4 13 59 2 2 162 0 7 3.10 3.46 1.31 145.5 130.3 4.55 1.66
5 최채흥 20삼 3.35 26 1 1 26 11 6 0 0 146.0 67 58 617 131 27 1 12 51 0 7 123 3 3 3.58 4.13 1.25 137.2 117.7 3.35 1.32
