"순 이름 팀 정렬
35 김재환 22두LF 1.47 62 267 227 32 53 14 1 10 99 32 1 0 37 2 2 61 2 0 1 .233 .345 .436 .781 .356 130.8 1.47 0.25
36 정수빈 21두CF 1.47 104 351 313 50 81 19 4 3 117 37 12 7 29 3 1 50 7 4 2 .259 .326 .374 .700 .325 91.6 1.47 -0.07
37 김인태 22두RF 1.29 40 150 128 19 40 4 0 2 50 16 1 0 20 2 1 17 1 0 0 .313 .413 .391 .804 .380 143.5 1.29 0.73
38 박세혁 18두C 1.26 89 194 170 37 48 12 0 3 69 22 5 0 16 4 0 55 0 3 1 .282 .356 .406 .762 .337 95.0 1.26 -0.66
39 안권수 22두RF 1.15 52 176 155 32 51 6 1 0 59 17 2 4 20 0 0 28 3 1 0 .329 .406 .381 .786 .371 135.2 1.15 0.00
40 정수빈 18두CF 1.06 26 112 98 20 36 2 1 2 46 23 5 2 11 1 0 13 1 0 2 .367 .429 .469 .898 .402 136.7 1.06 0.89
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
41 조수행 21두CF 1.01 115 104 84 34 24 2 1 1 31 8 21 4 16 3 0 26 1 1 0 .286 .418 .369 .787 .381 128.1 1.01 0.48
42 강승호 21두2B 0.94 113 340 301 47 72 16 2 7 113 37 8 2 22 6 1 78 8 8 3 .239 .301 .375 .677 .307 81.8 0.94 -0.93
43 양석환 22두1B 0.88 28 115 102 22 28 4 1 6 52 14 0 0 11 1 1 21 1 0 1 .275 .348 .510 .858 .382 150.4 0.88 -0.13
44 안재석 21두SS 0.79 96 224 200 28 51 8 2 2 69 14 1 0 16 4 0 53 4 0 4 .255 .317 .345 .662 .314 83.8 0.79 -1.02
45 최주환 19두2B 0.75 87 325 285 27 79 13 0 4 104 47 0 0 28 1 0 35 10 0 11 .277 .332 .365 .697 .323 95.2 0.75 -0.87
46 류지혁 18두SS 0.67 128 280 228 52 61 7 0 1 71 29 7 2 29 10 0 43 3 11 2 .268 .372 .311 .683 .314 77.7 0.67 1.15
47 장승현 21두C 0.57 92 211 177 18 41 10 0 2 57 27 0 0 19 8 0 50 2 6 1 .232 .332 .322 .654 .310 82.3 0.57 -0.40
48 강승호 22두2B 0.54 63 235 215 26 54 11 0 3 74 32 6 2 12 1 0 47 4 4 3 .251 .290 .344 .634 .289 81.4 0.54 0.18
49 최용제 21두C 0.54 79 119 104 7 29 3 0 0 32 15 0 0 11 2 0 21 0 1 1 .279 .356 .308 .664 .324 89.2 0.54 0.50
50 류지혁 19두SS 0.51 118 316 276 36 69 6 2 0 79 34 18 5 24 7 0 40 6 6 3 .250 .323 .286 .609 .289 69.9 0.51 0.14
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
51 이유찬 20두3B 0.48 101 108 89 30 23 2 1 0 27 6 13 4 14 2 0 25 2 2 1 .258 .368 .303 .671 .322 86.2 0.48 -0.12
52 정진호 18두RF 0.47 111 299 269 53 81 12 1 2 101 37 8 1 19 1 0 44 8 9 1 .301 .348 .375 .724 .319 81.3 0.47 -0.84
53 이우성 18두LF 0.36 31 66 58 13 17 3 0 2 26 11 1 0 6 2 0 18 2 0 0 .293 .379 .448 .827 .369 117.3 0.36 0.22
54 김인태 20두LF 0.31 77 110 84 15 17 5 0 1 25 13 0 0 21 2 0 13 3 2 1 .202 .370 .298 .668 .325 90.7 0.31 0.98
55 박세혁 22두C 0.26 60 198 172 14 38 10 0 0 48 23 0 1 16 2 0 28 2 5 3 .221 .290 .279 .569 .265 63.5 0.26 -1.08
56 오재원 20두2B 0.24 85 174 155 25 36 7 1 5 60 27 10 5 16 0 0 49 3 1 2 .232 .301 .387 .688 .310 82.4 0.24 -1.04
57 박세혁 21두C 0.24 96 270 237 25 52 12 0 0 64 30 4 2 22 5 0 43 6 3 3 .219 .296 .270 .566 .275 57.8 0.24 -1.05
58 정수빈 22두CF 0.20 63 227 203 32 47 5 2 0 56 21 12 4 19 0 0 30 0 4 1 .232 .296 .276 .572 .270 64.8 0.20 0.69
59 박계범 22두SS 0.19 40 84 73 11 15 7 0 2 28 8 2 1 7 0 1 19 1 3 1 .205 .272 .384 .655 .283 79.7 0.19 -0.52
60 김인태 19두LF 0.19 26 70 60 6 14 2 1 2 24 7 1 1 8 0 0 12 2 1 1 .233 .319 .400 .719 .324 98.1 0.19 0.41
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
61 조수행 18두CF 0.12 119 198 183 35 51 6 4 1 68 17 9 0 9 0 0 33 4 5 1 .279 .311 .372 .683 .297 65.4 0.12 -0.02
62 김인태 18두RF 0.11 46 109 95 16 25 7 0 1 35 10 0 0 12 0 0 26 0 1 1 .263 .343 .368 .711 .320 83.0 0.11 0.65
63 조수행 22두LF 0.10 52 75 66 17 15 3 0 1 21 5 12 5 7 0 0 18 4 0 2 .227 .293 .318 .612 .286 79.2 0.10 -0.40
64 강진성 22두1B 0.10 30 81 68 7 13 2 0 1 18 7 3 0 10 2 1 16 2 1 0 .191 .313 .265 .577 .276 72.2 0.10 -0.31
65 신성현 19두1B 0.07 35 54 41 9 8 0 0 1 11 6 0 0 10 1 0 14 0 0 2 .195 .352 .268 .620 .308 86.3 0.07 -0.13
66 김재호 21두SS -0.02 89 251 211 23 44 8 0 1 55 24 1 1 29 2 0 34 7 6 3 .209 .306 .261 .567 .275 58.2 -0.02 -1.73
67 김민혁 18두DH -0.06 22 58 53 7 12 2 0 2 20 10 0 0 5 0 0 19 3 0 0 .226 .293 .377 .671 .296 69.8 -0.06 0.20
68 권민석 20두3B -0.07 55 57 50 6 13 2 0 0 15 7 1 0 3 0 0 15 0 2 2 .260 .291 .300 .591 .266 49.2 -0.07 -0.45
69 김재호 22두SS -0.13 47 110 95 7 20 4 0 0 24 9 0 0 9 1 0 14 3 3 2 .211 .280 .253 .533 .250 52.8 -0.13 -0.78
70 국해성 20두RF -0.14 46 94 86 10 20 1 0 3 30 17 1 1 6 1 2 21 2 0 1 .233 .287 .349 .636 .282 64.4 -0.14 -0.04
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
71 안재석 22두SS -0.21 57 149 131 9 26 3 0 0 29 8 3 0 13 2 1 43 2 2 1 .198 .279 .221 .500 .241 45.8 -0.21 -0.24
72 백동훈 19두RF -0.27 41 52 47 8 8 2 0 0 10 2 0 1 3 2 0 16 0 0 0 .170 .250 .213 .463 .230 30.7 -0.27 -0.39
73 오재원 19두2B -0.30 98 204 177 30 29 8 1 3 48 18 6 2 25 0 0 50 3 2 0 .164 .267 .271 .539 .257 51.4 -0.30 -1.55
74 정진호 19두RF -0.37 66 110 96 13 20 0 0 1 23 3 5 2 11 0 0 24 2 3 0 .208 .290 .240 .529 .254 47.1 -0.37 -1.24
75 오재원 21두2B -0.43 45 79 72 6 12 3 0 0 15 5 2 0 6 0 0 18 3 0 1 .167 .228 .208 .436 .216 17.9 -0.43 -0.64
76 정상호 20두C -0.68 42 92 86 3 14 6 0 0 20 8 0 0 2 0 0 29 4 3 1 .163 .180 .233 .412 .182 -4.8 -0.68 -1.24
77 파레디스 18두RF -0.73 21 71 65 7 9 2 1 1 16 4 1 0 4 1 1 17 0 0 1 .138 .197 .246 .443 .191 -2.4 -0.73 -0.65
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 러프 18삼1B 5.28 137 597 506 97 167 32 4 33 306 125 5 3 65 18 0 107 17 0 8 .330 .419 .605 1.024 .432 152.9 5.28 5.89
2 구자욱 21삼RF 5.01 139 610 543 107 166 30 10 22 282 88 27 4 48 6 3 98 9 1 12 .306 .361 .519 .881 .394 134.0 5.01 3.48
3 러프 19삼1B 4.18 133 568 472 80 138 35 2 22 243 101 6 3 80 7 6 87 18 0 9 .292 .396 .515 .911 .406 145.8 4.18 1.30
4 구자욱 18삼RF 3.91 116 529 478 100 159 26 5 20 255 84 10 0 43 5 2 110 4 1 2 .333 .392 .533 .926 .398 131.9 3.91 4.23
5 강민호 21삼C 3.86 123 462 406 55 118 22 0 18 194 67 0 0 45 4 4 53 18 0 7 .291 .362 .478 .839 .380 123.6 3.86 1.49
6 피렐라 22삼LF 3.74 63 278 245 45 87 14 3 12 143 45 6 2 28 5 7 28 9 0 0 .355 .432 .584 1.015 .452 187.6 3.74 2.45
7 구자욱 20삼LF 3.38 118 510 446 70 137 27 2 15 213 78 19 5 51 8 3 91 4 1 4 .307 .385 .478 .863 .387 126.6 3.38 4.53
8 박해민 21삼CF 3.38 127 542 454 78 132 22 1 5 171 54 36 15 69 3 2 82 3 9 7 .291 .383 .377 .759 .356 110.6 3.38 1.39
9 이원석 18삼3B 3.35 128 543 479 74 144 30 1 20 236 93 2 1 52 7 1 103 10 0 5 .301 .374 .493 .867 .376 116.9 3.35 3.82
10 김상수 20삼2B 3.26 120 471 404 71 123 18 3 5 162 47 10 3 55 8 1 55 16 2 2 .304 .397 .401 .798 .372 118.5 3.26 0.76
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
11 피렐라 21삼DH 3.26 140 621 553 102 158 25 2 29 274 97 9 6 57 8 2 89 8 0 3 .286 .359 .495 .855 .389 128.7 3.26 3.27
12 박해민 18삼CF 3.20 144 649 576 114 172 30 10 9 249 68 36 10 56 3 0 99 9 8 6 .299 .360 .432 .793 .347 99.1 3.20 1.95
13 강민호 20삼C 3.02 119 393 355 46 102 14 0 19 173 61 0 0 31 4 2 54 17 0 3 .287 .349 .487 .836 .370 113.2 3.02 0.55
14 김상수 19삼2B 2.97 129 543 468 76 127 20 2 5 166 38 21 3 50 15 1 67 14 6 4 .271 .358 .355 .712 .334 100.0 2.97 -1.97
15 오재일 21삼1B 2.80 120 484 418 64 119 20 0 25 214 97 1 0 58 0 8 106 5 0 8 .285 .366 .512 .878 .390 129.2 2.80 3.43
16 박해민 20삼CF 2.49 132 541 489 84 142 18 5 11 203 55 34 12 39 3 1 77 7 7 3 .290 .345 .415 .760 .342 98.2 2.49 -0.11
17 김동엽 20삼DH 2.24 115 451 413 60 129 21 0 20 210 74 4 4 29 4 0 79 14 1 4 .312 .360 .508 .869 .385 123.6 2.24 1.59
18 김헌곤 18삼LF 1.99 141 586 513 77 154 26 2 11 217 71 22 9 54 10 1 70 13 5 4 .300 .375 .423 .798 .355 103.9 1.99 -0.57
19 이원석 19삼3B 1.98 111 455 395 44 97 20 0 19 174 76 2 1 43 8 0 73 10 2 7 .246 .327 .441 .767 .346 104.8 1.98 0.89
20 강민호 18삼C 1.97 129 477 427 46 115 14 0 22 195 71 0 0 29 14 5 96 11 0 7 .269 .331 .457 .788 .337 90.2 1.97 -0.83
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
